sales_price,property_class,month,day,neighborhood
385454,Dwelling,9,18,Serene Creek
290400,Dwelling,9,18,Quiet Hill
355000,Dwelling,9,18,Pleasant Valley
225000,Dwelling,9,17,Peaceful Glen
596000,Dwelling,9,17,Pleasant Valley
200000,Dwelling,9,17,Quiet Hill
340000,Dwelling,9,17,Serene Creek
515000,Dwelling,9,17,Serene Creek
504500,Dwelling,9,17,Pleasant Valley
1000000,Commercial,9,17,Quiet Hill
1000000,Commercial,9,17,Quiet Hill
105000,Dwelling,9,14,Serene Creek
260000,Dwelling,9,14,Pleasant Valley
250000,Dwelling,9,14,Peaceful Glen
379900,Dwelling,9,14,Pleasant Valley
365000,Dwelling,9,14,Peaceful Glen
370000,Dwelling,9,14,Pleasant Valley
300000,Dwelling,9,14,Serene Creek
340000,Dwelling,9,14,Peaceful Glen
85000,Mobile Home,9,14,Pleasant Valley
130000,Mobile Home,9,14,Pleasant Valley
352000,Dwelling,9,13,Serene Creek
344000,Dwelling,9,13,Quiet Hill
950000,Dwelling,9,13,Peaceful Glen
247000,Dwelling,9,13,Pleasant Valley
407000,Dwelling,9,13,Quiet Hill
416000,Dwelling,9,13,Serene Creek
130500,Dwelling,9,12,Serene Creek
540000,Dwelling,9,12,Serene Creek
410000,Commercial,9,12,Pleasant Valley
287500,Dwelling,9,12,Serene Creek
240000,Commercial,9,12,Quiet Hill
295000,Dwelling,9,11,Serene Creek
60000,Dwelling,9,11,Peaceful Glen
189900,Dwelling,9,11,Pleasant Valley
785000,Dwelling,9,11,Pleasant Valley
255000,Dwelling,9,10,Quiet Hill
459000,Dwelling,9,10,Pleasant Valley
375000,Dwelling,9,10,Quiet Hill
422000,Dwelling,9,10,Pleasant Valley
940000,Dwelling,9,10,Pleasant Valley
367500,Dwelling,9,10,Serene Creek
265000,Dwelling,9,10,Pleasant Valley
272000,Dwelling,9,10,Serene Creek
668000,Dwelling,9,7,Serene Creek
401100,Dwelling,9,7,Serene Creek
589500,Dwelling,9,7,Pleasant Valley
279300,Dwelling,9,7,Serene Creek
236000,Dwelling,9,7,Quiet Hill
347000,Dwelling,9,7,Pleasant Valley
489000,Dwelling,9,6,Pleasant Valley
549900,Dwelling,9,6,Pleasant Valley
265000,Dwelling,9,6,Serene Creek
330000,Dwelling,9,6,Pleasant Valley
267000,Dwelling,9,6,Serene Creek
551000,Dwelling,9,6,Serene Creek
186800,Dwelling,9,5,Pleasant Valley
556000,Dwelling,9,5,Serene Creek
275000,Dwelling,9,5,Pleasant Valley
395000,Dwelling,9,5,Peaceful Glen
392887,Dwelling,9,5,Serene Creek
320000,Dwelling,9,5,Pleasant Valley
400000,Dwelling,9,4,Peaceful Glen
210000,Dwelling,9,4,Pleasant Valley
409000,Dwelling,9,4,Serene Creek
325000,Dwelling,9,4,Pleasant Valley
218000,Dwelling,9,4,Serene Creek
380000,Dwelling,9,4,Pleasant Valley
22500,Mobile Home,9,4,Pleasant Valley
8000,Mobile Home,9,1,Pleasant Valley
15000,Mobile Home,9,1,Pleasant Valley
633000,Commercial,8,31,Serene Creek
510000,Dwelling,8,31,Peaceful Glen
430000,Dwelling,8,31,Pleasant Valley
428000,Dwelling,8,31,Pleasant Valley
286000,Dwelling,8,31,Peaceful Glen
218000,Dwelling,8,31,Pleasant Valley
349900,Dwelling,8,31,Peaceful Glen
315000,Dwelling,8,31,Pleasant Valley
725000,Dwelling,8,31,Pleasant Valley
875000,Dwelling,8,31,Pleasant Valley
367500,Dwelling,8,31,Serene Creek
675000,Commercial,8,31,Quiet Hill
339190,Dwelling,8,31,Pleasant Valley
399000,Dwelling,8,30,Quiet Hill
362500,Dwelling,8,30,Pleasant Valley
285000,Dwelling,8,30,Pleasant Valley
385000,Dwelling,8,30,Peaceful Glen
333000,Dwelling,8,30,Pleasant Valley
426000,Dwelling,8,30,Serene Creek
270000,Dwelling,8,30,Pleasant Valley
218000,Dwelling,8,30,Pleasant Valley
335000,Dwelling,8,30,Peaceful Glen
380000,Dwelling,8,30,Pleasant Valley
435000,Dwelling,8,29,Serene Creek
264000,Dwelling,8,29,Pleasant Valley
314000,Dwelling,8,29,Peaceful Glen
345000,Dwelling,8,29,Pleasant Valley
345000,Dwelling,8,29,Peaceful Glen
364000,Dwelling,8,29,Pleasant Valley
352100,Dwelling,8,28,Serene Creek
21900,Mobile Home,8,28,Pleasant Valley
394500,Dwelling,8,27,Serene Creek
299900,Dwelling,8,27,Peaceful Glen
560000,Dwelling,8,27,Pleasant Valley
301000,Dwelling,8,27,Serene Creek
510000,Dwelling,8,27,Pleasant Valley
220000,Dwelling,8,27,Pleasant Valley
525000,Dwelling,8,27,Pleasant Valley
281000,Dwelling,8,27,Quiet Hill
12000,Mobile Home,8,27,Pleasant Valley
485000,Dwelling,8,24,Peaceful Glen
517600,Dwelling,8,24,Pleasant Valley
140000,Dwelling,8,23,Quiet Hill
368000,Dwelling,8,23,Serene Creek
410000,Dwelling,8,23,Serene Creek
265000,Dwelling,8,23,Quiet Hill
400000,Dwelling,8,23,Peaceful Glen
367800,Dwelling,8,23,Pleasant Valley
376000,Dwelling,8,23,Pleasant Valley
445100,Dwelling,8,23,Peaceful Glen
360000,Dwelling,8,23,Quiet Hill
349000,Dwelling,8,23,Pleasant Valley
510000,Dwelling,8,23,Peaceful Glen
525000,Dwelling,8,22,Pleasant Valley
275000,Dwelling,8,22,Serene Creek
325000,Dwelling,8,22,Serene Creek
455000,Dwelling,8,22,Serene Creek
230000,Dwelling,8,21,Serene Creek
90000,Mobile Home,8,21,Pleasant Valley
364000,Dwelling,8,20,Peaceful Glen
650000,Dwelling,8,20,Pleasant Valley
255000,Dwelling,8,20,Peaceful Glen
335000,Dwelling,8,20,Quiet Hill
415000,Dwelling,8,20,Serene Creek
345000,Dwelling,8,20,Serene Creek
40000,Mobile Home,8,20,Pleasant Valley
460000,Mobile Home,8,17,Serene Creek
1000000,Commercial,8,17,Pleasant Valley
330000,Dwelling,8,17,Serene Creek
250000,Dwelling,8,17,Peaceful Glen
416800,Dwelling,8,17,Serene Creek
405000,Dwelling,8,17,Peaceful Glen
325000,Dwelling,8,17,Serene Creek
470000,Dwelling,8,17,Pleasant Valley
360000,Dwelling,8,17,Quiet Hill
561000,Dwelling,8,17,Pleasant Valley
285000,Dwelling,8,17,Pleasant Valley
450000,Dwelling,8,17,Pleasant Valley
75000,Mobile Home,8,17,Pleasant Valley
302000,Dwelling,8,16,Peaceful Glen
350000,Dwelling,8,16,Peaceful Glen
410000,Dwelling,8,16,Serene Creek
219000,Dwelling,8,16,Serene Creek
261553,Dwelling,8,16,Serene Creek
310000,Dwelling,8,15,Pleasant Valley
195000,Dwelling,8,15,Serene Creek
444900,Dwelling,8,15,Serene Creek
356000,Dwelling,8,15,Pleasant Valley
375000,Dwelling,8,15,Pleasant Valley
220000,Dwelling,8,15,Quiet Hill
269900,Dwelling,8,15,Serene Creek
608000,Dwelling,8,15,Pleasant Valley
349900,Dwelling,8,14,Serene Creek
182000,Dwelling,8,14,Quiet Hill
415000,Dwelling,8,14,Peaceful Glen
595000,Dwelling,8,14,Pleasant Valley
415000,Dwelling,8,13,Pleasant Valley
291500,Dwelling,8,13,Pleasant Valley
300000,Dwelling,8,13,Peaceful Glen
270000,Dwelling,8,13,Quiet Hill
421000,Dwelling,8,13,Serene Creek
319900,Dwelling,8,10,Peaceful Glen
450000,Dwelling,8,10,Quiet Hill
119000,Dwelling,8,10,Serene Creek
290000,Dwelling,8,10,Serene Creek
214500,Dwelling,8,10,Serene Creek
335000,Dwelling,8,10,Serene Creek
302000,Dwelling,8,10,Pleasant Valley
390000,Dwelling,8,10,Quiet Hill
550000,Dwelling,8,10,Peaceful Glen
235000,Dwelling,8,10,Pleasant Valley
280000,Dwelling,8,10,Pleasant Valley
689000,Dwelling,8,10,Quiet Hill
450000,Mobile Home,8,10,Quiet Hill
67000,Mobile Home,8,10,Pleasant Valley
322000,Dwelling,8,9,Peaceful Glen
378000,Dwelling,8,9,Pleasant Valley
100000,Mobile Home,8,9,Pleasant Valley
557000,Dwelling,8,8,Pleasant Valley
332500,Dwelling,8,8,Peaceful Glen
217000,Dwelling,8,8,Serene Creek
628000,Dwelling,8,8,Peaceful Glen
